q4_1_1_07c3d5_v2___1,q4_1_1_07c3d5_v2___2,q4_1_1_07c3d5_v2___3,q4_1_1_07c3d5_v2___4,q4_1_1_07c3d5_v2___5,q4_1_d2ed0c_v2,q4_1_3_88e301_v2,q4_1_4_eeaeda_v2,q4_1_5_81dd6d_v2
1,1,0,1,1,2,4,1,1
1,1,0,1,0,2,4,1,1
1,1,1,1,1,4,4,1,4
1,0,0,1,0,2,1,1,1
1,1,0,1,1,2,4,1,1
1,0,0,1,1,2,4,1,1
1,0,0,1,0,1,4,1,1
1,1,0,1,1,2,4,1,1
1,1,0,1,1,2,4,1,1
1,1,0,1,1,2,4,1,4
1,1,0,1,1,2,4,1,1
1,1,0,1,1,2,4,1,1
1,1,1,1,1,2,4,1,1
1,1,0,1,1,2,4,1,1
1,1,0,1,1,2,4,1,1
1,1,0,1,1,2,4,1,1
1,1,0,1,1,2,4,1,1
1,1,1,1,1,2,4,1,1
1,1,0,1,0,2,4,1,1
1,1,0,1,1,2,4,1,1
1,0,0,1,1,2,4,1,1
1,1,1,1,1,2,4,1,1
1,0,1,1,0,2,4,1,5
1,1,0,1,0,2,4,4,4
1,1,0,1,1,2,4,1,1
