i2_1,i2_2,i2_3,i2_4,i2_5,i2_6,i2_7,i2_8,i2_9,i2_10,i2_11,i2_12,i2_13,i2_14
4,4,4,4,4,4,3,4,4,4,4,4,4,3
3,3,3,2,4,3,4,4,3,4,3,4,4,4
4,4,4,4,4,4,3,4,4,4,4,4,4,4
4,3,4,3,4,3,3,4,4,3,3,4,3,3
4,3,4,4,4,4,4,4,3,4,4,4,4,4
4,3,4,3,4,3,3,4,3,4,3,4,3,3
4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,3,3,3,3,3,3,4,4,4,4,3,3,3
4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,4,3,3,4,4,3,4,4,4,4,4,4,4
4,4,4,4,4,4,2,4,4,4,4,4,4,4
4,4,4,3,4,3,3,4,4,4,4,4,3,3
4,4,4,3,4,3,3,4,3,4,4,3,3,3
4,3,4,3,4,4,4,4,3,4,3,4,4,4
4,4,4,4,4,4,1,4,4,4,4,4,4,1
3,3,3,3,3,3,3,3,3,3,3,3,3,2
4,4,4,3,4,3,3,4,3,3,3,4,3,2
3,3,3,3,3,3,3,3,3,3,3,3,2,3
3,3,3,3,3,3,2,4,4,4,4,3,4,2
4,3,3,1,4,3,4,4,4,3,4,4,3,3
3,3,2,4,3,3,2,4,2,3,4,4,4,4
3,3,3,3,3,3,3,3,3,3,3,3,3,3
4,3,4,3,4,4,4,4,4,4,4,4,4,4
