Altitude Range h_ellp (km),Base Altitude h0 (km),Nominal Density rho_0 (kg/m^3),Scale Height H (km)
25,0,1.225,7.249
30,25,0.03899,6.349
40,30,0.01774,6.682
50,40,0.003972,7.554
60,50,0.001057,8.382
70,60,0.0003206,7.714
80,70,8.77E-05,6.549
90,80,1.91E-05,5.799
100,90,3.40E-06,5.382
110,100,5.30E-07,5.877
120,110,9.66E-08,7.263
130,120,2.44E-08,9.473
140,130,8.48E-09,10.799
150,140,3.85E-09,16.149
180,150,2.07E-09,22.523
200,180,5.46E-10,29.74
250,200,2.79E-10,37.105
300,250,7.25E-11,45.546
350,300,2.42E-11,53.628
400,350,9.52E-12,53.298
450,400,3.73E-12,58.515
500,450,1.59E-12,60.828
600,500,6.97E-13,63.822
700,600,1.45E-13,71.835
800,700,3.61E-14,88.667
900,800,1.17E-14,124.64
1000,900,5.25E-15,181.05
100000,1000,3.02E-15,268
